Rank,Val_AUC,Layer1,Layer2,Dropout1,LR,Optimizer
1,0.9160664677619934,128,32,0.3,0.0005,adam
2,0.9123148918151855,64,128,0.3,0.001,rmsprop
3,0.9114645719528198,256,128,0.4,0.001,rmsprop
4,0.9098639488220215,64,128,0.4,0.0001,adam
5,0.9095888137817383,128,32,0.4,0.005,rmsprop
6,0.9093387126922607,256,64,0.2,0.0001,adam
7,0.9081132411956787,256,64,0.3,0.0005,rmsprop
8,0.9081132411956787,256,64,0.4,0.005,adam
9,0.9071128964424133,256,32,0.3,0.0001,rmsprop
10,0.9067126512527466,256,128,0.4,0.0005,rmsprop
